Autostart, Autostart
Auto Start Server after 10 Seconds:, Server nach 10 Sekunden automatisch starten:
Additional Args? (arguments to add after the memory arguments of server command), Zusätzliche Argumente? (Argumente die nach den Speicherargumenten hinzugefügt werden)
Arguments after memory arguments, Argumente nach Speicherargumenten
After Arguments, Argumente danach
Additional Args? (arguments to add at the end of server command), Zusätzliche Argumente? (Argumente die am ender des Server befehls hinzugefügt werden)
Auto Start Server On Program Launch?, Server mit dem Start des Programms automatisch starten?
Auto Start Delay In Seconds, Verzögerung für den automatischen Start in Sekunden
Auto Start Priority, Priorität für den automatischen Start
Add User, Benutzer hinzufügen
A secure password is actually a phrase, Ein sicheres Kennwort kann auch ein Satz sein
All rights reserved., Alle rechte vorbehalten.
Auto Start Details, Auto Start Informationen
Auto Start On:, Auto-Start an:
Auto Start Delay:, Auto-Start Verzögerung:
Auto Start Priority:, Auto-Start Priorität:
Auto Start Server after 10 Seconds, Server nach 10 Sekunden automatisch starten
Automatically Download Server Jar from Url, Server Jar automatisch mit URL herunterladen
An empty value means "every". For instance: Backup every 1 hour, Ein frei geleasner Wert bedeutet "jede". Zum Beispiel: Backup jede Stunde
A scheduled task, Eine geplante Aufgabe
Action, Aktion
Autostart Delay, Autostart Verzögerung
Actions, Aktionen
available, verfügbar
and kept for, behalten für
API Access, API Zugriff
Are you sure you wish to delete user:, Bist du sicher dass du diesen Benutzer löschen willst:
Admin, Administrator
Backup, Backup
Branch, Version
Because the NSA won't send their copy, Weil die NSA ihre Kopie nicht zur verfügung stellen wird
Backups for Server ID:, Backups für Server mit der ID:
Backup Server Now, Server jetzt sichern
Backup Worlds, Welten Speichern & Sichern
Backup every, Alles sichern
Be careful here., Sei hier vorsichtig.
Crafty Controller - Login, Crafty Controller - Anmeldung
Crafty Controller Login, Crafty Controller Anmeldung
Change Password, Kennwort ändern
Check For Updates, Auf Updates prüfen
Create New Server, Neuen Server erstellen
Crafty Controller Version:, Crafty Controller Version:
Configure Your Server, Server konfigurieren
Change Role, Rolle ändern
Change is good, Änderung war erfolgreich
Click here to download the latest update, Klicke hier, um das neueste Update herunterzuladen
Current, Aktuell
Change Your Password, Ändere dein Kennwort
Change Password For:, Ändere Kennwort für:
Creepers hate me so much, Creeper hassen mich so sehr
Crafty will try to connect to, Crafty wird versuchen, eine Verbindung mit folgendem server herzustellen
Check your history interval config, Überprüfe Deine Verlaufsintervallkonfiguration
Current Players, Aktuelle Spieler
Change Backup Config, Ändere die Backup Konfiguration
Click On The Log Below To Scroll To Bottom, Klicke unten auf das Protokoll, um die ansicht ans ende zu bewegen
Cancel, Abbruch
Comment, Kommentieren
Click thumb to toggle, Auf den Knopf Drücken zum umschalten
Current Directory:, Aktuelles Verzeichnis:
Dashboard, Dashboard
Documentation, Dokumentation
Documentation, Dokumentation
Details, Details
Disabled, Deaktiviert
Default is 25565 - this is the port crafty will use to get server stats. This should match your server.properties file, Standardeinstellung ist 25565 - Dies ist der Port den Crafty nutzt um Serverstatistiken zu erhalten. Dies sollte mit Deiner server.properties-Datei übereinstimmen
Default is 127.0.0.1 - this is the ip crafty will use to get server stats. Standardeinstellung ist 127.0.0.1 - Dies ist die IP, die Crafty nutzt, um Serverstatistiken zu erhalten
Defined, Definiert
Delete Server, Server löschen
