Autostart, 自动启动
Auto Start Server after 10 Seconds:, 10 秒后自动启动服务器：
Additional Args? (arguments to add after the memory arguments of server command), 附加参数？（服务器启动命令的内存参数之后要添加的参数）
Arguments after memory arguments, 内存参数后的参数
After Arguments, 附加参数
Additional Args? (arguments to add at the end of server command), 附加参数？（服务器启动命令的结尾要添加的参数）
Auto Start Server On Program Launch?, 在程序启动时自动启动服务器？
Auto Start Delay In Seconds, 自动启动延迟（以秒为单位）
Auto Start Priority, 自动启动优先级
Add User, 添加用户
A secure password is actually a phrase, 安全密钥实际上是一个短语
All rights reserved., 保留所有权利。
Auto Start Details, 自动启动详情
Auto Start On:, 在该时间自动启动：
Auto Start Delay:, 自动启动延迟：
Auto Start Priority:, 自动启动优先级：
Auto Start Server after 10 Seconds, 10 秒后自动启动服务器
An empty value means "every". For instance: Backup every 1 hour, 空值代表“每次都执行”。例如：每 1 小时备份。
A scheduled task, 一个计划任务
Action, 操作
Autostart Delay, 自动启动延迟
Actions, 操作
available, 可用
and kept for, 并保留
API Access, API 访问
Are you sure you wish to delete user:, 您确定要删除该用户吗？
Admin, 超级管理员
Backup, 备份
Branch, 分支
Because the NSA won't send their copy, 因为美国国家安全局不会发送他们的副本
Backups for Server ID:, 该服务器 ID 的备份：
Backup Server Now, 现在备份服务器
Backup Worlds, 备份所有世界
Backup every, 每经过该时间间隔备份一次：
Be careful here., 此处请小心。
Crafty Controller - Login, Crafty Controller - 登录
Crafty Controller Login, Crafty Controller 登录
Change Password, 更改密码
Check For Updates, 检查更新
Create New Server, 创建新服务器
Crafty Controller Version:, Crafty Controller 版本：
Configure Your Server, 配置您的服务器
Confirm your new password, 确认您的新密码
Change Role, 更改角色
Change is good, 更改无误
Click here to download the latest update, 点击这里来下载最新的更新
Current, 当前
Change Your Password, 更改您的密码
Change Password For:, 为其更改密码：
Creepers hate me so much, 苦力怕非常讨厌我
Crafty will try to connect to, Crafty 将会尝试连接到
Check your history interval config, 检查您的历史记录间隔配置
Current Players, 当前玩家
Change Backup Config, 更改备份配置
Click On The Log Below To Scroll To Bottom, 点击下方的日志来滚动到底部
Cancel, 取消
Comment, 备注
Click thumb to toggle, 点击图标以切换
Current Directory:, 当前目录：
Dashboard, 仪表板
Documentation, 文档
Details, 详情
Disabled, 已禁用
Default is 25565 - this is the port crafty will use to get server stats. This should match your server.properties file, 默认值为 25565——这是 Crafty 用来获取服务器状态的端口。这应该与您的 server.properties 文件内的设置相匹配。
Default is 127.0.0.1 - this is the ip crafty will use to get server stats, 默认值为 127.0.0.1——这是 Crafty 用来获取服务器状态的 IP。
Delete Server, 删除服务器
